,ffr,pa,pos,deal_amount,value,count
2025-01-02,,,,0.0,0.0,0
2025-01-03,1.0,0.0,0.0,2937.3913679086018,89316.20632689027,47
2025-01-06,1.0,0.0,0.0,449.6347671893197,13430.56080957291,7
2025-01-07,1.0,0.0,0.0,308.8563716485941,6075.947645336883,4
2025-01-08,1.0,0.0,0.0,110.0164821831767,4869.792702710913,4
2025-01-09,1.0,0.0,0.0,70.7281510865722,4663.527456731265,3
2025-01-10,1.0,0.0,0.0,760.5584415980104,9311.613309672937,5
2025-01-13,1.0,0.0,0.0,47.33682641971071,3316.8251789735677,3
2025-01-14,1.0,0.0,0.0,117.0411507037224,10520.570598937931,3
2025-01-15,1.0,0.0,0.0,157.37040485956734,5997.713130959132,4
2025-01-16,1.0,0.0,0.0,267.2366621124692,5634.23910123001,4
2025-01-17,1.0,0.0,0.0,737.1118713839267,11826.845689946998,4
2025-01-20,1.0,0.0,0.0,148.41956181836176,6325.179672924774,2
2025-01-21,1.0,0.0,0.0,161.40480605329475,7156.608336622737,5
2025-01-22,1.0,0.0,0.0,50.42703442196409,5518.379970622227,4
2025-02-03,1.0,0.0,0.0,238.6309562126624,10802.75665597111,5
2025-02-04,1.0,0.0,0.0,106.71532552580317,8200.98945743672,4
2025-02-05,1.0,0.0,0.0,590.5191284901268,6964.977412415368,4
2025-02-06,1.0,0.0,0.0,150.45635506921238,10567.33350198745,4
2025-02-07,1.0,0.0,0.0,241.2485682419883,10027.786231757247,4
2025-02-10,1.0,0.0,0.0,57.23633336281957,5379.423676852531,4
2025-02-11,1.0,0.0,0.0,140.69669849463264,6991.651304659017,4
2025-02-12,1.0,0.0,0.0,355.95409342329197,12351.806751022603,4
2025-02-13,1.0,0.0,0.0,406.03632572416285,12667.905388000008,3
2025-02-14,1.0,0.0,0.0,284.2290353689656,10095.065406538753,5
2025-02-17,1.0,0.0,0.0,369.38351435919515,10981.14165814857,4
2025-02-18,1.0,0.0,0.0,375.4650512633824,9383.5252624702,4
2025-02-19,1.0,0.0,0.0,93.68789665428372,8198.547971842618,4
2025-02-20,1.0,0.0,0.0,123.33760310724662,15077.634586323391,4
2025-02-21,1.0,0.0,0.0,116.81867850258006,5226.200521380144,2
2025-02-24,1.0,0.0,0.0,201.68389594061063,15515.468271492946,6
2025-02-25,1.0,0.0,0.0,172.29030937449824,8566.903595036803,4
2025-02-26,1.0,0.0,0.0,190.58282267635798,10530.89194401107,4
2025-02-27,1.0,0.0,0.0,62.795769295931294,8935.01027873033,4
2025-03-03,1.0,0.0,0.0,397.88566332712696,8758.489049219734,4
2025-03-04,1.0,0.0,0.0,170.4504144963156,12315.513981798587,4
2025-03-05,1.0,0.0,0.0,145.35710829793473,9903.863140455018,4
2025-03-06,1.0,0.0,0.0,236.71038029049848,10897.983546418269,4
2025-03-07,1.0,0.0,0.0,303.73391792145316,6810.596882107374,4
2025-03-10,1.0,0.0,0.0,175.09215755315543,4957.215225548389,4
2025-03-11,1.0,0.0,0.0,301.3043969152703,4490.62796567461,3
