datetime,changed_instruments
2025-01-02,0
2025-01-03,47
2025-01-06,52
2025-01-07,52
2025-01-08,52
2025-01-09,51
2025-01-10,52
2025-01-13,52
2025-01-14,52
2025-01-15,52
2025-01-16,52
2025-01-17,52
2025-01-20,50
2025-01-21,50
2025-01-22,51
2025-02-03,52
2025-02-04,52
2025-02-05,52
2025-02-06,52
2025-02-07,52
2025-02-10,52
2025-02-11,52
2025-02-12,52
2025-02-13,51
2025-02-14,52
2025-02-17,52
2025-02-18,52
2025-02-19,52
2025-02-20,52
2025-02-21,50
2025-02-24,52
2025-02-25,51
2025-02-26,52
2025-02-27,52
2025-03-03,52
2025-03-04,52
2025-03-05,52
2025-03-06,52
2025-03-07,52
2025-03-10,52
2025-03-11,51
2025-03-12,51
2025-03-13,52
2025-03-14,52
2025-03-17,52
2025-03-18,52
2025-03-19,51
2025-03-20,51
2025-03-21,52
2025-03-24,52
2025-03-25,51
2025-03-26,51
2025-03-27,52
2025-03-28,52
2025-03-31,52
2025-04-01,52
2025-04-02,52
2025-04-07,52
2025-04-08,52
2025-04-09,52
2025-04-10,52
2025-04-11,52
2025-04-14,52
2025-04-15,52
2025-04-16,52
2025-04-17,52
2025-04-18,52
2025-04-21,52
2025-04-22,52
2025-04-23,52
2025-04-24,52
2025-04-25,52
2025-04-28,52
2025-04-29,52
2025-04-30,52
2025-05-02,52
2025-05-05,52
2025-05-06,52
2025-05-07,52
2025-05-08,52
2025-05-09,52
2025-05-12,51
2025-05-13,51
2025-05-14,50
2025-05-15,51
2025-05-16,52
2025-05-19,51
2025-05-20,51
2025-05-21,52
2025-05-22,51
2025-05-23,51
2025-05-26,51
2025-05-27,52
2025-05-28,52
2025-05-29,52
2025-06-02,52
2025-06-03,52
2025-06-04,52
2025-06-05,52
2025-06-06,52
2025-06-09,52
2025-06-10,52
2025-06-11,52
2025-06-12,52
2025-06-13,51
2025-06-16,51
2025-06-17,51
2025-06-18,51
2025-06-19,52
2025-06-20,52
2025-06-23,49
2025-06-24,52
2025-06-25,50
2025-06-26,52
2025-06-27,52
2025-06-30,52
2025-07-01,51
2025-07-02,52
2025-07-03,52
2025-07-04,52
2025-07-07,52
2025-07-08,52
2025-07-09,52
2025-07-10,52
2025-07-11,52
2025-07-14,51
2025-07-15,52
2025-07-16,51
2025-07-17,51
2025-07-18,51
2025-07-21,50
2025-07-22,51
2025-07-23,51
2025-07-24,49
2025-07-25,51
2025-07-28,51
2025-07-29,52
2025-07-30,52
2025-07-31,51
2025-08-01,49
2025-08-04,52
2025-08-05,51
2025-08-06,51
2025-08-07,49
2025-08-08,50
2025-08-11,50
2025-08-12,50
2025-08-13,51
2025-08-14,51
2025-08-15,48
2025-08-18,49
2025-08-19,49
2025-08-20,50
2025-08-21,51
2025-08-22,52
2025-08-25,51
2025-08-26,52
2025-08-27,52
2025-08-28,51
2025-08-29,51
2025-09-01,50
2025-09-02,52
2025-09-03,51
2025-09-04,51
2025-09-05,51
2025-09-08,51
2025-09-09,51
2025-09-10,52
2025-09-11,52
2025-09-12,51
2025-09-15,52
2025-09-16,52
2025-09-17,52
2025-09-18,52
2025-09-19,51
2025-09-22,51
2025-09-23,52
2025-09-24,52
2025-09-25,52
2025-09-26,50
2025-09-30,52
2025-10-01,51
2025-10-02,51
2025-10-03,52
2025-10-07,51
2025-10-08,50
2025-10-09,52
2025-10-13,51
2025-10-14,52
2025-10-15,51
2025-10-16,50
2025-10-17,50
2025-10-20,51
2025-10-21,49
2025-10-22,51
2025-10-23,52
2025-10-27,52
2025-10-28,52
2025-10-29,51
2025-10-30,51
2025-10-31,52
2025-11-03,52
2025-11-04,52
2025-11-05,52
2025-11-06,52
2025-11-07,51
2025-11-10,52
2025-11-11,49
2025-11-12,51
2025-11-13,52
2025-11-14,50
2025-11-17,52
2025-11-18,52
2025-11-19,52
2025-11-20,51
2025-11-21,52
2025-11-24,52
2025-11-25,51
