,ffr,pa,pos,deal_amount,value,count
2025-01-02,,,,0.0,0.0,0
2025-01-03,1.0,0.0,0.0,2656.7955060919276,82918.08613550723,46
2025-01-06,1.0,0.0,0.0,1127.1407103771814,40026.55951157457,23
2025-01-07,1.0,0.0,0.0,731.5705750680069,28149.31276027238,20
2025-01-08,1.0,0.0,0.0,1172.8880271951125,32452.34264787729,21
2025-01-09,1.0,0.0,0.0,869.6245130256431,27842.041110998875,15
2025-01-10,1.0,0.0,0.0,1540.3225628880923,36981.66488475343,20
2025-01-13,1.0,0.0,0.0,1685.7827671010439,40275.11830988969,21
2025-01-14,1.0,0.0,0.0,1002.2724001718317,31658.037161020857,17
2025-01-15,1.0,0.0,0.0,1031.38551289007,42682.52778374078,19
2025-01-16,1.0,0.0,0.0,1105.6418589861219,35533.61903201152,20
2025-01-17,1.0,0.0,0.0,990.602650697831,32040.442205997635,20
2025-01-20,1.0,0.0,0.0,1125.6860517801383,30523.775662310218,20
2025-01-21,1.0,0.0,0.0,813.3320156155019,33207.6607469991,18
2025-01-22,1.0,0.0,0.0,715.530505638549,32557.363562852614,19
2025-02-03,1.0,0.0,0.0,706.1016149733737,27844.876241111546,18
2025-02-04,1.0,0.0,0.0,769.3709485474847,30771.28367414654,18
2025-02-05,1.0,0.0,0.0,1442.5908934521888,46377.00711273662,20
2025-02-06,1.0,0.0,0.0,471.0752715128304,30775.500240620666,17
2025-02-07,1.0,0.0,0.0,855.504700920341,58144.25487049911,24
2025-02-10,1.0,0.0,0.0,742.1868906190394,37380.62576293591,20
2025-02-11,1.0,0.0,0.0,786.8743883490166,39860.41669739747,19
2025-02-12,1.0,0.0,0.0,839.9259064456573,35846.67013020168,20
2025-02-13,1.0,0.0,0.0,918.5893981286789,43510.3298685071,21
2025-02-14,1.0,0.0,0.0,1002.9208207494835,46885.225589709145,19
2025-02-17,1.0,0.0,0.0,950.2805686976304,40297.36460351026,19
2025-02-18,1.0,0.0,0.0,653.9192183705195,33690.514656246654,20
2025-02-19,1.0,0.0,0.0,1293.4642672331865,56963.130294595394,21
2025-02-20,1.0,0.0,0.0,736.3395721946928,51151.56685328528,20
2025-02-21,1.0,0.0,0.0,702.6055969027045,32912.826172879315,19
2025-02-24,1.0,0.0,0.0,792.2853326039783,47830.23053915225,22
2025-02-25,1.0,0.0,0.0,713.9430464319502,43818.25867134888,19
2025-02-26,1.0,0.0,0.0,826.2089669949629,43366.43258416324,21
2025-02-27,1.0,0.0,0.0,1138.63420680927,25194.98812470935,20
2025-03-03,1.0,0.0,0.0,795.5983219295774,29715.231624185053,20
2025-03-04,1.0,0.0,0.0,498.82076613252787,29794.15866064875,19
2025-03-05,1.0,0.0,0.0,795.5719828416287,44592.15624889735,20
2025-03-06,1.0,0.0,0.0,745.0074012497593,45062.345050527874,21
2025-03-07,1.0,0.0,0.0,685.3883774838423,34727.89469474489,19
2025-03-10,1.0,0.0,0.0,973.5438468846622,42839.098945762664,21
2025-03-11,1.0,0.0,0.0,337.15153455338856,24713.95067851898,15
2025-03-12,1.0,0.0,0.0,371.55114368234877,40292.71121296239,21
2025-03-13,1.0,0.0,0.0,743.2550267880683,47495.63105741998,20
2025-03-14,1.0,0.0,0.0,541.3673871158206,33264.57738654784,20
