datetime,changed_instruments
2025-01-02,0
2025-01-03,46
2025-01-06,59
2025-01-07,59
2025-01-08,60
2025-01-09,57
2025-01-10,59
2025-01-13,60
2025-01-14,58
2025-01-15,59
2025-01-16,60
2025-01-17,60
2025-01-20,60
2025-01-21,58
2025-01-22,58
2025-02-03,58
2025-02-04,58
2025-02-05,59
2025-02-06,55
2025-02-07,60
2025-02-10,60
2025-02-11,59
2025-02-12,59
2025-02-13,60
2025-02-14,59
2025-02-17,58
2025-02-18,58
2025-02-19,59
2025-02-20,59
2025-02-21,58
2025-02-24,60
2025-02-25,59
2025-02-26,60
2025-02-27,60
2025-03-03,59
2025-03-04,58
2025-03-05,59
2025-03-06,60
2025-03-07,59
2025-03-10,60
2025-03-11,57
2025-03-12,60
2025-03-13,60
2025-03-14,60
2025-03-17,59
2025-03-18,58
2025-03-19,58
2025-03-20,59
2025-03-21,59
2025-03-24,59
2025-03-25,55
2025-03-26,60
2025-03-27,60
2025-03-28,59
2025-03-31,59
2025-04-01,59
2025-04-02,59
2025-04-07,50
2025-04-08,50
2025-04-09,50
2025-04-10,50
2025-04-11,60
2025-04-14,59
2025-04-15,59
2025-04-16,60
2025-04-17,60
2025-04-18,60
2025-04-21,60
2025-04-22,60
2025-04-23,59
2025-04-24,60
2025-04-25,59
2025-04-28,60
2025-04-29,60
2025-04-30,60
2025-05-02,59
2025-05-05,60
2025-05-06,59
2025-05-07,60
2025-05-08,59
2025-05-09,59
2025-05-12,58
2025-05-13,59
2025-05-14,60
2025-05-15,60
2025-05-16,59
2025-05-19,58
2025-05-20,59
2025-05-21,60
2025-05-22,60
2025-05-23,60
2025-05-26,60
2025-05-27,58
2025-05-28,60
2025-05-29,59
2025-06-02,60
2025-06-03,59
2025-06-04,58
2025-06-05,60
2025-06-06,59
2025-06-09,59
2025-06-10,58
2025-06-11,60
2025-06-12,58
2025-06-13,59
2025-06-16,58
2025-06-17,59
2025-06-18,58
2025-06-19,60
2025-06-20,60
2025-06-23,59
2025-06-24,59
2025-06-25,55
2025-06-26,59
2025-06-27,59
2025-06-30,59
2025-07-01,59
2025-07-02,59
2025-07-03,59
2025-07-04,60
2025-07-07,59
2025-07-08,59
2025-07-09,60
2025-07-10,58
2025-07-11,57
2025-07-14,57
2025-07-15,60
2025-07-16,58
2025-07-17,59
2025-07-18,59
2025-07-21,58
2025-07-22,57
2025-07-23,59
2025-07-24,57
2025-07-25,58
2025-07-28,57
2025-07-29,58
2025-07-30,60
2025-07-31,59
2025-08-01,50
2025-08-04,60
2025-08-05,59
2025-08-06,59
2025-08-07,57
2025-08-08,58
2025-08-11,59
2025-08-12,59
2025-08-13,57
2025-08-14,56
2025-08-15,54
2025-08-18,53
2025-08-19,53
2025-08-20,54
2025-08-21,58
2025-08-22,58
2025-08-25,59
2025-08-26,59
2025-08-27,59
2025-08-28,57
2025-08-29,58
2025-09-01,57
2025-09-02,57
2025-09-03,56
2025-09-04,57
2025-09-05,58
2025-09-08,60
2025-09-09,59
2025-09-10,57
2025-09-11,58
2025-09-12,58
2025-09-15,59
2025-09-16,58
2025-09-17,59
2025-09-18,58
2025-09-19,58
2025-09-22,59
2025-09-23,59
2025-09-24,59
2025-09-25,58
2025-09-26,57
2025-09-30,58
2025-10-01,58
2025-10-02,59
2025-10-03,59
2025-10-07,58
2025-10-08,57
2025-10-09,57
2025-10-13,57
2025-10-14,59
2025-10-15,57
2025-10-16,54
2025-10-17,55
2025-10-20,58
2025-10-21,56
2025-10-22,58
2025-10-23,58
2025-10-27,59
2025-10-28,58
2025-10-29,58
2025-10-30,59
2025-10-31,60
2025-11-03,58
2025-11-04,59
2025-11-05,60
2025-11-06,60
2025-11-07,57
2025-11-10,58
2025-11-11,55
2025-11-12,58
2025-11-13,59
2025-11-14,56
2025-11-17,60
2025-11-18,58
2025-11-19,60
2025-11-20,60
2025-11-21,59
2025-11-24,60
2025-11-25,58
