,ffr,pa,pos,deal_amount,value,count
2025-07-01,,,,0.0,0.0,0
2025-07-02,1.0,0.0,0.0,2006.0,94908.61103057861,8
2025-07-03,0.0,0.0,0.0,0.0,0.0,2
2025-07-04,1.0,0.0,0.0,454.0,27437.825714111328,4
2025-07-07,1.0,0.0,0.0,795.0,25793.14882659912,3
2025-07-08,0.75,0.0,0.0,471.0,32118.032875061035,4
2025-07-09,0.6666666666666666,0.0,0.0,1578.0,25555.263402938843,3
2025-07-10,0.5,0.0,0.0,183.0,11254.5,2
2025-07-11,1.0,0.0,0.0,2146.0,39807.64753341675,3
2025-07-14,1.0,0.0,0.0,566.0,37004.547622680664,5
2025-07-15,0.75,0.0,0.0,1719.0,41615.79949951172,4
2025-07-16,1.0,0.0,0.0,618.0,32237.26417541504,4
2025-07-17,0.6666666666666666,0.0,0.0,56.0,16678.188598632812,3
2025-07-18,1.0,0.0,0.0,247.0,21919.16069793701,4
2025-07-21,1.0,0.0,0.0,435.0,21895.400436401367,3
2025-07-22,0.75,0.0,0.0,1467.0,39223.10052871704,4
2025-07-23,1.0,0.0,0.0,528.0,25790.794538497925,4
2025-07-24,0.6666666666666666,0.0,0.0,1423.0,22926.00026702881,3
2025-07-25,1.0,0.0,0.0,389.0,30082.098999023438,2
2025-07-28,1.0,0.0,0.0,249.0,21542.036825180054,4
2025-07-29,0.8,0.0,0.0,717.0,44049.49131202698,5
2025-07-30,0.0,0.0,0.0,0.0,0.0,2
2025-07-31,1.0,0.0,0.0,555.0,37382.75993347168,3
2025-08-01,1.0,0.0,0.0,86.0,10449.0,1
2025-08-04,1.0,0.0,0.0,1673.0,58778.00044250488,6
2025-08-05,0.5,0.0,0.0,237.0,11992.1996383667,2
2025-08-06,1.0,0.0,0.0,918.0,34938.058515548706,4
2025-08-07,1.0,0.0,0.0,209.0,22727.739868164062,3
2025-08-08,1.0,0.0,0.0,899.0,49285.89984321594,6
2025-08-11,0.0,0.0,0.0,0.0,0.0,2
2025-08-12,1.0,0.0,0.0,815.0,53273.83367919922,4
2025-08-13,0.6666666666666666,0.0,0.0,145.0,10862.5,3
2025-08-14,0.6666666666666666,0.0,0.0,752.0,28908.530527114868,3
2025-08-15,1.0,0.0,0.0,1473.0,34648.898920059204,4
2025-08-18,0.5,0.0,0.0,10.0,7727.08984375,2
2025-08-19,1.0,0.0,0.0,145.0,22294.0,3
2025-08-20,1.0,0.0,0.0,625.0,29385.200317382812,3
2025-08-21,1.0,0.0,0.0,1863.0,37903.176173210144,6
2025-08-22,0.3333333333333333,0.0,0.0,261.0,28449.0,3
2025-08-25,1.0,0.0,0.0,1533.0,19562.557390213013,3
2025-08-26,1.0,0.0,0.0,791.0,47575.42945384979,5
2025-08-27,0.6666666666666666,0.0,0.0,124.0,18582.0,3
2025-08-28,1.0,0.0,0.0,342.0,33777.60021972656,3
2025-08-29,1.0,0.0,0.0,610.0,30055.177057266235,4
2025-09-01,0.5,0.0,0.0,88.0,14124.0,2
2025-09-02,1.0,0.0,0.0,1471.0,40676.99998474121,5
2025-09-03,1.0,0.0,0.0,592.0,25303.101818084717,4
2025-09-04,0.6666666666666666,0.0,0.0,441.0,20269.0,3
2025-09-05,0.6666666666666666,0.0,0.0,1048.0,12402.58995437622,3
2025-09-08,0.75,0.0,0.0,453.0,29189.250131607056,4
2025-09-09,1.0,0.0,0.0,813.0,18430.644386291504,3
2025-09-10,1.0,0.0,0.0,221.0,30862.0,2
2025-09-11,1.0,0.0,0.0,944.0,36710.229232788086,7
2025-09-12,0.6666666666666666,0.0,0.0,535.0,40739.49728393555,3
2025-09-15,0.6666666666666666,0.0,0.0,40.0,15468.0,3
