,ffr,pa,pos,deal_amount,value,count
2025-07-01,,,,0.0,0.0,0
2025-07-02,1.0,0.0,0.0,1784.5582437355176,94233.23853697303,9
2025-07-03,1.0,0.0,0.0,2712.3324852380097,116617.7636960413,11
2025-07-04,1.0,0.0,0.0,2674.8044817538703,94644.76473609125,9
2025-07-07,1.0,0.0,0.0,1882.7687727309362,84230.91418564378,8
2025-07-08,1.0,0.0,0.0,1534.555708826149,63958.923938114975,6
2025-07-09,1.0,0.0,0.0,4271.69645653473,129291.80359810765,12
2025-07-10,1.0,0.0,0.0,3769.3889552219725,106693.56330310638,10
2025-07-11,1.0,0.0,0.0,2949.3887035783664,111009.7686867317,10
2025-07-14,1.0,0.0,0.0,461.87507022916895,32429.49995230348,3
2025-07-15,1.0,0.0,0.0,1127.1343078334621,76496.61302207207,7
2025-07-16,1.0,0.0,0.0,562.0,23652.300857543945,2
2025-07-17,1.0,0.0,0.0,1411.1256891370692,95647.51267967478,9
2025-07-18,1.0,0.0,0.0,1029.7283558529655,66446.98294256185,6
2025-07-21,1.0,0.0,0.0,933.7851866261985,88238.80071795118,8
2025-07-22,1.0,0.0,0.0,2000.8688002902643,104775.33615895157,10
2025-07-23,1.0,0.0,0.0,2575.63832381913,118270.40028925233,11
2025-07-24,1.0,0.0,0.0,866.3356108910917,62612.19984263221,6
2025-07-25,1.0,0.0,0.0,1147.3356108910916,84625.69988929326,8
2025-07-28,1.0,0.0,0.0,1271.2678940863157,67377.40025383502,6
2025-07-29,1.0,0.0,0.0,1448.50210030706,86543.3015109085,8
2025-07-30,1.0,0.0,0.0,1470.0971241089878,88273.20048369037,8
2025-07-31,1.0,0.0,0.0,1679.5080313816925,65798.99968052733,6
2025-08-01,,,,0.0,0.0,0
2025-08-04,1.0,0.0,0.0,2102.395337374629,132452.8011957956,12
2025-08-05,1.0,0.0,0.0,2549.0786713724783,119670.04918604434,11
2025-08-06,1.0,0.0,0.0,3166.118009952588,112358.45038386199,10
2025-08-07,1.0,0.0,0.0,1724.852350398029,122761.04877046807,11
2025-08-08,1.0,0.0,0.0,1661.081670557455,119948.39889853126,11
2025-08-11,1.0,0.0,0.0,4233.510526919517,142827.15917664074,13
2025-08-12,1.0,0.0,0.0,2806.7531672583955,113764.89858873055,10
2025-08-13,1.0,0.0,0.0,2270.868084351501,118580.09968750984,11
2025-08-14,1.0,0.0,0.0,2532.3283079941602,117283.3991063411,11
2025-08-15,1.0,0.0,0.0,2061.9159758048127,98686.5495500615,9
2025-08-18,1.0,0.0,0.0,1083.3306317906527,85902.23682347077,8
2025-08-19,1.0,0.0,0.0,1427.8202012741622,76176.36344950862,7
2025-08-20,1.0,0.0,0.0,459.539559738753,42509.49970713416,4
2025-08-21,1.0,0.0,0.0,3807.8534750647395,96859.27036191069,9
2025-08-22,1.0,0.0,0.0,3693.5122187128095,97598.09931161975,9
2025-08-25,1.0,0.0,0.0,1693.029248488339,107988.89995924625,10
2025-08-26,1.0,0.0,0.0,4303.870725622723,116413.55133434874,11
2025-08-27,1.0,0.0,0.0,5232.485971936349,124950.4297984894,12
2025-08-28,1.0,0.0,0.0,3903.070501507253,126238.1503691241,12
2025-08-29,1.0,0.0,0.0,2993.333986796801,108752.4013631194,10
2025-09-01,1.0,0.0,0.0,2288.878731603175,116170.4995983511,11
